BCL2,,,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave,,
Thy_35_TN,BCL2,20.59939027,20.38050325,,20.48994676,, 
Thy_37_TN,BCL2,22.64693305,23.0058183,,22.82637568,,
Thy_39_TN,BCL2,23.48397247,23.66333052,,23.5736515,,
Thy_42_TN,BCL2,23.03401426,23.04510934,,23.0395618,,
Thy_44_TN,BCL2,19.34581607,20.41777417,,19.88179512,,
Thy_45_TN,BCL2,22.75258274,22.53393019,,22.64325647,,
Thy_1_HS,BCL2,23.74602187,22.40749592,,23.07675889,,
Thy_3_HS,BCL2,22.33664137,23.09472886,,22.71568511,,
Thy_5_HS,BCL2,22.27099409,22.45325838,,22.36212623,,
Thy_6_HS,BCL2,21.79801469,22.33061351,,22.0643141,,
Thy_7_HS,BCL2,21.69617782,21.97628589,,21.83623185,,
Thy_50_HS,BCL2,21.57226301,22.00056465,,21.78641383,,
Thy_29_HSAX,BCL2,20.97064597,21.29538276,,21.13301436,,
Thy_34_HSAX,BCL2,21.50967335,22.16205114,,21.83586224,,
Thy_71_HSAX,BCL2,21.44439849,22.25406593,,21.84923221,,
Thy_73_HSAX,BCL2,23.77531278,22.49353144,,23.13442211,,
Thy_76_HSAX,BCL2,21.39737333,21.44928544,,21.42332939,,
Thy_78_HSAX,BCL2,29.02779751,26.74590827,,27.88685289,,
