CASP3,,,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave,,
Thy_35_TN,CASPASE3,22.20538709,21.84351407,,22.02445058,, 
Thy_37_TN,CASPASE3,23.94655276,24.26061837,,24.10358557,,
Thy_39_TN,CASPASE3,24.30244106,24.33556988,,24.31900547,,
Thy_42_TN,CASPASE3,24.17033747,24.42027533,,24.2953064,,
Thy_44_TN,CASPASE3,21.15178019,21.55674245,,21.35426132,,
Thy_45_TN,CASPASE3,23.60246531,24.36842134,,23.98544333,,
Thy_1_HS,CASPASE3,22.70496883,22.59470652,,22.64983767,,
Thy_3_HS,CASPASE3,23.6954869,23.47886329,,23.5871751,,
Thy_5_HS,CASPASE3,23.06993848,23.21522362,,23.14258105,,
Thy_6_HS,CASPASE3,22.87305899,22.79392455,,22.83349177,,
Thy_7_HS,CASPASE3,23.61232938,23.64090186,,23.62661562,,
Thy_50_HS,CASPASE3,23.19848614,23.63667999,,23.41758307,,
Thy_29_HSAX,CASPASE3,32.35360177,34.95902254,,33.65631216,,
Thy_34_HSAX,CASPASE3,36.06089897,30.91750542,,33.4892022,,
Thy_71_HSAX,CASPASE3,32.63793567,34.69309779,,33.66551673,,
Thy_73_HSAX,CASPASE3,29.30171652,34.07048801,,31.68610227,,
Thy_76_HSAX,CASPASE3,24.56013368,25.17526324,,24.86769846,,
Thy_78_HSAX,CASPASE3,35.66274904,34.00055615,,34.8316526,,
