GPX1,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,GPX1,20.74292665,20.34100155,,20.5419641
Thy_37_TN,GPX1,21.78983506,21.48044577,,21.63514041
Thy_39_TN,GPX1,21.30780014,21.43087737,,21.36933876
Thy_42_TN,GPX1,21.56250968,22.43212521,,21.99731744
Thy_44_TN,GPX1,19.25807834,19.50644351,,19.38226092
Thy_45_TN,GPX1,20.26364169,20.15705024,,20.21034596
Thy_1_HS,GPX1,20.69804061,20.73131051,,20.71467556
Thy_3_HS,GPX1,20.74651728,21.84741267,,21.29696498
Thy_5_HS,GPX1,21.01491402,21.12520826,,21.07006114
Thy_6_HS,GPX1,20.55716189,20.77218653,,20.66467421
Thy_7_HS,GPX1,21.23210689,21.25929879,,21.24570284
Thy_50_HS,GPX1,21.29769726,21.32717826,,21.31243776
Thy_29_HSAX,GPX1,20.01639354,20.1581325,,20.08726302
Thy_34_HSAX,GPX1,20.38957567,20.70193517,,20.54575542
Thy_71_HSAX,GPX1,20.56095785,21.11463742,,20.83779763
Thy_73_HSAX,GPX1,19.33508845,19.49451807,,19.41480326
Thy_76_HSAX,GPX1,21.59428343,21.60281197,,21.5985477
Thy_78_HSAX,GPX1,24.41438401,24.89194509,,24.65316455
