IKBIKB,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,IKBIKB,25.45159463,25.37107185,,25.41133324
Thy_37_TN,IKBIKB,27.51026159,27.72098409,,27.61562284
Thy_39_TN,IKBIKB,28.46561294,28.17476696,,28.32018995
Thy_42_TN,IKBIKB,27.27775145,26.69583841,,26.98679493
Thy_44_TN,IKBIKB,27.11276357,26.24933521,,26.68104939
Thy_45_TN,IKBIKB,26.37348297,26.1086119,,26.24104743
Thy_1_HS,IKBIKB,26.09102509,25.40154102,,25.74628306
Thy_3_HS,IKBIKB,26.88322211,26.48582636,,26.68452423
Thy_5_HS,IKBIKB,25.31876056,25.42081627,,25.36978841
Thy_6_HS,IKBIKB,25.25573709,24.85853373,,25.05713541
Thy_7_HS,IKBIKB,25.47423657,25.70478027,,25.58950842
Thy_50_HS,IKBIKB,25.81365654,25.89197235,,25.85281444
Thy_29_HSAX,IKBIKB,24.40154511,24.22809769,,24.3148214
Thy_34_HSAX,IKBIKB,25.73779672,25.69199744,,25.71489708
Thy_71_HSAX,IKBIKB,25.74777387,25.60265809,,25.67521598
Thy_73_HSAX,IKBIKB,24.64941787,24.60030406,,24.62486096
Thy_76_HSAX,IKBIKB,26.10753066,25.8683964,,25.98796353
Thy_78_HSAX,IKBIKB,30.40734547,30.1567703,,30.28205788
