KEAP1,,,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave,,
Thy_35_TN,KEAP1,28.46598461,28.57758813,,28.52178637,, 
Thy_37_TN,KEAP1,30.93838505,30.71341966,,30.82590235,,
Thy_39_TN,KEAP1,31.02785169,31.27509004,,31.15147086,,
Thy_42_TN,KEAP1,30.12015164,30.17092289,,30.14553726,,
Thy_44_TN,KEAP1,29.44684238,29.75997479,,29.60340859,,
Thy_45_TN,KEAP1,29.63171993,30.04367633,,29.83769813,,
Thy_1_HS,KEAP1,29.2425629,28.91461998,,29.07859144,,
Thy_3_HS,KEAP1,30.13494698,30.34026934,,30.23760816,,
Thy_5_HS,KEAP1,29.66438773,29.13436553,,29.39937663,,
Thy_6_HS,KEAP1,29.21018557,28.72731338,,28.96874947,,
Thy_7_HS,KEAP1,29.03121795,29.02793531,,29.02957663,,
Thy_50_HS,KEAP1,29.36207262,29.21103583,,29.28655423,,
Thy_29_HSAX,KEAP1,27.23968687,27.17815077,,27.20891882,,
Thy_34_HSAX,KEAP1,28.11605539,28.27806815,,28.19706177,,
Thy_71_HSAX,KEAP1,28.49828056,28.66819515,,28.58323785,,
Thy_73_HSAX,KEAP1,27.74797068,27.78823852,,27.7681046,,
Thy_76_HSAX,KEAP1,29.15580435,29.18960151,,29.17270293,,
Thy_78_HSAX,KEAP1,32.55240209,34.10904647,,33.33072428,,
