NFKB1,,,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave,,
Thy_35_TN,NFKB1,27.32516144,26.96584533,,27.14550338,, 
Thy_37_TN,NFKB1,30.15459177,30.52201244,,30.33830211,,
Thy_39_TN,NFKB1,30.07831423,30.01375011,,30.04603217,,
Thy_42_TN,NFKB1,28.44003902,28.48043911,,28.46023907,,
Thy_44_TN,NFKB1,28.23612469,28.02626805,,28.13119637,,
Thy_45_TN,NFKB1,28.63821188,29.07517063,,28.85669126,,
Thy_1_HS,NFKB1,27.72730964,27.76703731,,27.74717347,,
Thy_3_HS,NFKB1,28.53577215,28.83475566,,28.6852639,,
Thy_5_HS,NFKB1,28.12977058,28.33349502,,28.2316328,,
Thy_6_HS,NFKB1,27.51830788,27.91196704,,27.71513746,,
Thy_7_HS,NFKB1,29.06091303,29.19899665,,29.12995484,,
Thy_50_HS,NFKB1,28.68966346,29.09678286,,28.89322316,,
Thy_29_HSAX,NFKB1,27.65904151,27.51644117,,27.58774134,,
Thy_34_HSAX,NFKB1,29.3771639,30.38285583,,29.88000987,,
Thy_71_HSAX,NFKB1,29.75761803,30.13835621,,29.94798712,,
Thy_73_HSAX,NFKB1,28.27110584,28.14340447,,28.20725516,,
Thy_76_HSAX,NFKB1,29.16963975,30.00289998,,29.58626987,,
Thy_78_HSAX,NFKB1,33.80724068,33.54972934,,33.67848501,,
