PPARG,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,PPARG,35.75749853,32.7323493,,34.24492391
Thy_37_TN,PPARG,33.17891727,35.56295713,,34.3709372
Thy_39_TN,PPARG,33.55187151,33.51890932,,33.53539042
Thy_42_TN,PPARG,33.24947314,34.26036556,,33.75491935
Thy_44_TN,PPARG,30.12067479,30.25497903,,30.18782691
Thy_45_TN,PPARG,30.82706632,31.38756603,,31.10731618
Thy_1_HS,PPARG,30.36296668,30.26923188,,30.31609928
Thy_3_HS,PPARG,31.18895461,30.91887799,,31.0539163
Thy_5_HS,PPARG,29.99673756,29.44498145,,29.72085951
Thy_6_HS,PPARG,29.23210973,29.40245736,,29.31728355
Thy_7_HS,PPARG,30.18622661,29.76955469,,29.97789065
Thy_50_HS,PPARG,28.4047197,28.32699497,,28.36585733
Thy_29_HSAX,PPARG,29.22458591,29.08318662,,29.15388627
Thy_34_HSAX,PPARG,29.81562404,30.03804,,29.92683202
Thy_71_HSAX,PPARG,28.24622867,28.81509336,,28.53066102
Thy_73_HSAX,PPARG,29.75506844,29.1136485,,29.43435847
Thy_76_HSAX,PPARG,29.23930821,30.01566471,,29.62748646
Thy_78_HSAX,PPARG,31.01645754,30.90005997,,30.95825876
