SOD3,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,SOD3,27.37821893,27.28331907,,27.330769
Thy_37_TN,SOD3,31.24881775,30.73790731,,30.99336253
Thy_39_TN,SOD3,28.57690882,28.31142839,,28.4441686
Thy_42_TN,SOD3,28.38022911,28.71031916,,28.54527414
Thy_44_TN,SOD3,27.25588203,27.28512397,,27.270503
Thy_45_TN,SOD3,28.11779508,28.2502904,,28.18404274
Thy_1_HS,SOD3,28.02011607,27.70797057,,27.86404332
Thy_3_HS,SOD3,27.95115554,28.57695025,,28.26405289
Thy_5_HS,SOD3,26.61922445,26.71170148,,26.66546296
Thy_6_HS,SOD3,27.27797651,27.19512595,,27.23655123
Thy_7_HS,SOD3,28.16062276,28.24406565,,28.20234421
Thy_50_HS,SOD3,27.83345626,28.33105924,,28.08225775
Thy_29_HSAX,SOD3,29.50943914,29.0907799,,29.30010952
Thy_34_HSAX,SOD3,27.24512969,26.88482921,,27.06497945
Thy_71_HSAX,SOD3,27.00305969,27.19669221,,27.09987595
Thy_73_HSAX,SOD3,27.55782795,27.53414645,,27.5459872
Thy_76_HSAX,SOD3,27.83791227,28.19175078,,28.01483153
Thy_78_HSAX,SOD3,30.65402355,30.07153862,,30.36278109
