TP53,,,,,
Sample,Target,Ct Value Run 1 20240105,Ct Value Run 2 20240105,,Ct Ave
Thy_35_TN,TP53,27.42122933,28.95948824,,28.19035878
Thy_37_TN,TP53,28.09906389,30.71436164,,29.40671276
Thy_39_TN,TP53,26.27464844,26.65316222,,26.46390533
Thy_42_TN,TP53,26.02134388,26.44421432,,26.2327791
Thy_44_TN,TP53,27.03953187,28.66596023,,27.85274605
Thy_45_TN,TP53,30.68641449,30.04103918,,30.36372683
Thy_1_HS,TP53,26.55983379,26.626072,,26.59295289
Thy_3_HS,TP53,28.04754288,25.34269738,,26.69512013
Thy_5_HS,TP53,29.50790655,26.859852,,28.18387927
Thy_6_HS,TP53,28.71669753,30.15476024,,29.43572889
Thy_7_HS,TP53,29.28770369,29.3594817,,29.3235927
Thy_50_HS,TP53,26.14159568,26.78820815,,26.46490192
Thy_29_HSAX,TP53,33.03251156,25.96135926,,29.49693541
Thy_34_HSAX,TP53,24.6718714,26.46875428,,25.57031284
Thy_71_HSAX,TP53,27.57200573,28.04953367,,27.8107697
Thy_73_HSAX,TP53,29.48072909,29.93086136,,29.70579522
Thy_76_HSAX,TP53,28.49046144,26.00827003,,27.24936574
Thy_78_HSAX,TP53,34.71318407,23.452317,,29.08275053
